Topic,Topic_Label
-1,Outliers / Unclassified
0,Identity Theft Fraud Reporting
1,Formal Debt Validation Requests
2,Mortgage Escrow Payment Issues
3,Credit Report Accuracy Disputes
4,Credit Card Fee Disagreements
5,Unauthorized Hard Inquiry Disputes
6,Auto Loan Repossession Disputes
7,Consumer Privacy Rights Violation
8,Unauthorized Credit Inquiry Removal
9,Cash App Fraud Complaints
10,Credit Verification Method Requests
11,Unauthorized Digital Payment Transactions
12,Consumer Agency Privacy Compliance
13,Inaccurate Credit Report Data
14,Experian Dispute Process Failures
15,Credit Card Transaction Disputes
16,Credit Account Management Issues
17,Bankruptcy Credit Report Inaccuracies
18,Inaccurate Tax Debt Reporting
19,Harassing Debt Collection Calls
20,Fraudulent Account Removal Request
21,Student Loan Servicing Disputes
22,Unauthorized Credit Card Applications
23,Late Payment History Disputes
24,Identity Theft Fraud Removal
25,Banking Fund Recovery Issues
26,Debt Collection Verification Disputes
27,Fair Credit Reporting Violations
28,Data Breach Credit Blocking
29,Unauthorized Credit Account Dispute
30,Bank Account Access Issues
31,Credit Report Accuracy Disputes
32,Loan Servicing and Lien
33,Transaction Dispute Refund Denials
34,Credit Reporting Accuracy Challenges
35,Credit Report Data Validation
36,Reporting Standards Compliance Challenges
37,Late Payment Dispute Investigation
38,Credit Union Overdraft Fees
39,Incorrect Credit Report Data
40,Identity Theft Fraud Reporting
41,FCRA Account Validation Requests
42,Debt Collection Validation Disputes
43,Credit Bureau Dispute Processing
44,Equifax Investigation Failure Claims
45,Systemic Payment Processing Errors
46,Inaccurate Late Payment Reporting
47,Unauthorized Identity Theft Accounts
48,Credit Bureau Investigation Failures
49,Restricted Personal Account Access
50,Paid Account Reporting Inaccuracies
51,Identity Theft Account Disputes
52,Personal Information Update Requests
53,Credit Report Accuracy Concerns
54,Identity Theft Fraud Blocking
55,Rental Property Dispute Issues
56,Unresponsive Credit Dispute Investigations
57,Unauthorized Credit Card Debits
58,Unauthorized Hard Inquiry Disputes
59,Consumer Privacy Rights Violations
60,Collection Account Validation Disputes
61,Identity Theft Reporting Blocks
62,Debt Bondage Advocacy Issues
63,Identity Theft Reporting Delays
64,Inaccurate Credit Report Furnishing
65,Student Loan Forbearance Reporting
66,FCRA Privacy Rights Violations
67,Inaccurate Late Payment Reporting
68,Credit Bureau Reinvestigation Failures
69,FCRA Account Removal Disputes
70,Cryptocurrency Exchange Asset Issues
71,Fraudulent Inquiry Reporting Blocks
72,Credit File Fraud Blocking
73,Fraudulent Credit Report Entries
74,Identity Theft Record Disputes
75,FCRA Privacy Violation Claims
76,Debt Validation Estoppel Claims
77,Unauthorized Credit Inquiry Disputes
78,Unverified Debt Collection Practices
79,Identity Theft Reporting Blocks
80,Unauthorized Account Reporting Disputes
81,Credit Report Inaccuracy Resolution
82,Fraudulent Account Blocking Requests
83,Identity Theft Dispute Follow-up
84,Student Loan Discharge Disputes
85,Zelle Payment Dispute Handling
86,Inconsistent Credit Bureau Reporting
87,FCRA Privacy Right Violations
88,Unupdated Paid Loan Status
89,Zelle Transfer Scam Disputes
90,Debt Collection Cease Request
91,FCRA Privacy Violation Complaint
92,Credit Report Payment Errors
93,Bank Overdraft Fee Dispute
94,Inadequate Credit Report Investigation
95,Dispute Resolution Delay Issues
96,Medical Billing Insurance Dispute
97,Identity Theft Fraud Reporting
98,Credit Accuracy Reporting Failure
99,Incorrect Credit Account Discrepancies
100,Check Deposit Hold Dispute
101,Identity Theft Information Blocking
102,Credit Reporting Legal Violations
103,Student Loan Credit Dispute
104,Wire Transfer Funds Blockage
105,Debt Collection Accuracy Dispute
106,Unsolicited Door-to-Door Sales Complaint
107,Credit Report Accuracy Investigation
108,Unauthorized Credit Inquiry Removal
109,ATM Cash Deposit Failure
110,Credit Report Data Validation
111,Unauthorized Account Fraud Dispute
112,Identity Theft Credit Reporting
113,Financial Institution Fraud Impersonation
114,Vehicle Loan Title Issues
115,Online Account Access Difficulty
116,Dispute Investigation Process Inquiry
117,Identity Theft Dispute Assistance
118,Credit File Information Correction
119,Fair Credit Reporting Violation
120,FCRA Consumer Reporting Disputes
121,Prepaid Card Transaction Issues
122,Educational Financial Data Breach
123,Reinsertion of Deleted Items
124,Unauthorized Credit Inquiry Removal
125,Identity Theft Fraud Blocks
126,Credit Report Verification Requests
127,Identity Theft Reporting Procedures
128,Credit Dispute Processing Delays
129,Credit Reporting Identity Fraud
130,Suspected Identity Theft Investigation
131,Reporting Agency Dispute Compliance
132,Zelle Payment Dispute Concerns
133,Inaccurate Chargeoff Account Reporting
134,Unauthorized Account Credit Inquiries
135,Unverified Account Identity Dispute
136,Credit Bureau Verification Disputes
137,Promotion Bonus Eligibility Issues
138,Credit Report Authentication Disputes
139,Identity Theft Fraud Reporting
140,Fraudulent Account Access Claims
141,Inaccurate Credit Reporting Complaints
142,Credit Report Accuracy Assistance
143,Formal Credit Reinvestigation Demands
144,Unresponsive Credit Dispute Processing
145,Direct Deposit Processing Delays
146,Data Breach Account Deletions
147,Unauthorized Credit Inquiry Removal
148,Credit Report Distress Removal
149,Personal Information Accuracy Corrections
150,CFPB Consumer Documentation Requirements
151,Identity Theft Fraud Reporting
152,Equifax Identity Theft Block
153,Unauthorized Credit Inquiry Disputes
154,Identity Theft Account Deletion
155,FCRA Compliance Reporting Efficiency
156,Trafficking Related Credit Disputes
157,General Credit Report Errors
158,Disputing Mortgage Account Reporting
159,Closed Account Status Inaccuracy
160,Unverified Debt Collection Disputes
161,Credit Report Accuracy Concerns
162,Credit Card Billing Discrepancies
163,Data Breach Reporting Block
164,Bank Account Access Restrictions
165,Credit Report Accuracy Disputes
166,Bank Deposit Hold Issues
167,Credit Report Fraud Inquiries
168,Late Payment Reporting Errors
169,Student Loan Account Discrepancies
170,Abusive Debt Collection Practices
171,Fraudulent Account Removal Requests
172,Derogatory Payment Data Disputes
173,Identity Theft Inquiry Disputes
174,Affirm Loan Refund Issues
175,Citibank Merchant Refund Denials
176,Credit Reporting Accuracy Compliance
177,Inadequate Credit Dispute Investigations
178,Formal Credit Information Disputes
179,Data Breach Identity Block
180,ChexSystems Account Information Disputes
181,FCRA Rights Reporting Violations
182,Consumer Reporting Agency Disputes
183,Fraudulent Account Reporting Dispute
184,Apple Card Unauthorized Transactions
185,Credit File Accuracy Disputes
186,Medical Debt Reporting Issues
187,Unfair Credit Reporting Practices
188,Wage Garnishment Payment Disputes
189,Credit Report Correction Delays
190,Experian Dispute Deletion Failure
191,Credit Application Denial Concerns
192,Billing Late Payment Errors
193,Security Credit Freeze Request
194,Identity Theft Recovery Assistance
195,Credit Card Fraud Dispute
196,FCRA Privacy Rights Violation
197,Identity Theft Record Removal
198,Fraudulent Credit Report Items
199,Unauthorized Credit Inquiry Dispute
200,Unauthorized Credit Card Usage
201,Inaccurate Credit Reporting Dispute
202,Incorrect Late Payment Reporting
203,Unresolved Credit Dispute Investigation
204,Credit Report Identity Theft
205,Prepaid Gift Card Fraud
206,Credit Reporting Accuracy Concerns
207,Unauthorized Account Removal Request
208,LexisNexis FCRA Compliance Dispute
209,Credit Report Accuracy Inaccuracies
210,Digital Wallet Transfer Issues
211,Credit Report Inquiry Disputes
212,Unauthorized Credit Card Usage
